# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 18 20:43:15 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.32000 1.5174965858 2.5403068066    1.517  0.928  3.8188  3.918    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-13      0.00 7.401e-01 2.459e-01 2.473e-03 6.757e-04 6.154e-03 -1.000 1.400e-02 2.451 2.318 2.532 1.959
0.0152 0.01508 9.32000 1.5381228924 2.5419359207    1.538  0.958  3.8151  3.879    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-13      0.00 7.400e-01 2.460e-01 2.475e-03 6.763e-04 6.162e-03 -1.000 1.403e-02 2.374 2.241 2.460 1.874
0.0152 0.01508 9.32000 1.5499999523 2.5428512096    1.550  0.975  3.8125  3.855    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-13      0.00 7.398e-01 2.461e-01 2.476e-03 6.767e-04 6.167e-03 -1.000 1.403e-02 2.331 2.198 2.421 1.825
0.0152 0.01508 9.32000 1.5575165749 2.5434222221    1.557  0.986  3.8109  3.840    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.36e-13      0.00 7.397e-01 2.462e-01 2.477e-03 6.770e-04 6.167e-03 -1.000 1.403e-02 2.304 2.170 2.397 1.793
0.0152 0.01508 9.32000 1.5740033388 2.5446529388    1.574  1.009  3.8066  3.804    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-13      0.00 7.395e-01 2.465e-01 2.479e-03 6.777e-04 6.170e-03 -1.000 1.400e-02 2.248 2.112 2.347 1.725
0.0152 0.01508 9.32000 1.5901813507 2.5458319187    1.590  1.031  3.8020  3.769    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.392e-01 2.467e-01 2.481e-03 6.785e-04 6.172e-03 -1.000 1.403e-02 2.193 2.058 2.301 1.659
0.0152 0.01508 9.32000 1.6000000238 2.5465342999    1.599  1.044  3.7989  3.746    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-13      0.00 7.390e-01 2.469e-01 2.482e-03 6.791e-04 6.175e-03 -1.000 1.404e-02 2.161 2.025 2.275 1.619
0.0152 0.01508 9.32000 1.6056576967 2.5469343662    1.605  1.051  3.7971  3.733    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.389e-01 2.470e-01 2.483e-03 6.793e-04 6.177e-03 -1.000 1.406e-02 2.143 2.007 2.260 1.596
0.0152 0.01508 9.32000 1.6213284731 2.5480258465    1.621  1.074  3.7924  3.695    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-13      0.00 7.386e-01 2.473e-01 2.485e-03 6.799e-04 6.183e-03 -1.000 1.409e-02 2.084 1.948 2.211 1.526
0.0152 0.01508 9.32000 1.6292650700 2.5485696793    1.629  1.090  3.7907  3.675    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.384e-01 2.475e-01 2.487e-03 6.802e-04 6.187e-03 -1.000 1.410e-02 2.045 1.909 2.175 1.483
0.0152 0.01508 9.32000 1.6356621981 2.5490033627    1.635  1.137  3.7972  3.655    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-13      0.00 7.383e-01 2.476e-01 2.488e-03 6.805e-04 6.190e-03 -1.000 1.408e-02 1.927 1.790 2.043 1.381
0.0152 0.01508 9.32000 1.6374812126 2.5491261482    1.637  1.172  3.8039  3.648    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-13      0.00 7.382e-01 2.477e-01 2.488e-03 6.806e-04 6.191e-03 -1.000 1.408e-02 1.840 1.702 1.941 1.310
0.0152 0.01508 9.32000 1.6380342245 2.5491633415    1.637  1.206  3.8108  3.642    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.382e-01 2.477e-01 2.489e-03 6.807e-04 6.192e-03 -1.000 1.408e-02 1.756 1.617 1.842 1.243
0.0152 0.01508 9.32000 1.6382696629 2.5491790771    1.638  1.238  3.8176  3.637    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.382e-01 2.477e-01 2.489e-03 6.807e-04 6.192e-03 -1.000 1.408e-02 1.675 1.536 1.748 1.178
